OID_,UNIT_CODE,UNIT_NAME,STATE,REGION,Lat,Lon
1,ANTI,Antietam National Battlefield,MD,NC,39.462385130000001,-77.735985439999993
2,BRVB,Brown v. Board of Education National Historical Park,KS,MW,39.037664280000001,-95.675740140000002
3,CIRO,City of Rocks National Reserve,ID,PW,42.067142500000003,-113.706301539999998
4,ELMA,El Malpais National Monument,NM,IM,34.786243349999999,-107.977734409999997
5,GRSA,Great Sand Dunes National Park,CO,IM,37.766890380000000,-105.613003160000005
6,ISRO,Isle Royale National Park,MI,MW,48.031037320000003,-88.806730270000003
7,LACH,Lake Chelan National Recreation Area,WA,PW,48.348615809999998,-120.690293620000006
8,MNRR,Missouri National Recreational River,NE,MW,42.733029799999997,-96.907640139999998
9,NEPH,New Philadelphia National Historic Site,IL,MW,39.696083920000000,-90.958263259999995
10,NICO,Nicodemus National Historic Site,KS,MW,39.390360459999997,-99.617842089999996
11,ROMO,Rocky Mountain National Park,CO,IM,40.357336730000000,-105.703648689999994
12,SACN,Saint Croix National Scenic Riverway,MN,MW,46.029330840000000,-92.017163030000006
13,SAGU,Saguaro National Park,AZ,IM,32.170717539999998,-110.618427609999998
14,WOTR,Wolf Trap National Park for the Performing Arts,VA,NC,38.937898050000001,-77.263699509999995
15,REDW,Redwood National Park,CA,PW,41.277605610000002,-124.004445439999998
16,AMME,American Memorial Park,MP,PW,15.215015190000001,145.724001310000006
17,CAJO,Captain John Smith Chesapeake National Historic Trail,MD,NE,37.412249520000003,-76.649341939999999
18,BOST,Boston National Historical Park,MA,NE,42.373265680000003,-71.055377170000000
19,MAVA,Martin Van Buren National Historic Site,NY,NE,42.368293580000000,-73.714159400000000
20,SPAR,Springfield Armory National Historic Site,MA,NE,42.108358629999998,-72.581059109999998
21,ACAD,Acadia National Park,ME,NE,44.337927160000000,-68.245464920000003
22,SACR,Saint Croix Island International Historic Site,ME,NE,45.128698380000003,-67.133602199999999
23,ADAM,Adams National Historical Park,MA,NE,42.256528330000002,-71.011817910000005
24,JOFI,John Fitzgerald Kennedy National Historic Site,MA,NE,42.346934539999999,-71.123230250000006
25,MIMA,Minute Man National Historical Park,MA,NE,42.454901479999997,-71.299926459999995
26,SAMA,Salem Maritime National Historic Site,MA,NE,42.519160059999997,-70.885658860000007
27,SAIR,Saugus Iron Works National Historic Site,MA,NE,42.468499289999997,-71.007759260000000
28,CACO,Cape Cod National Seashore,MA,NE,42.050299680000002,-70.087307409999994
29,ELRO,Eleanor Roosevelt National Historic Site,NY,NE,41.763378359999997,-73.900607539999996
30,LONG,Longfellow House-Washington's Headquarters National Historic Site,MA,NE,42.376992199999997,-71.126374200000001
31,GATE,Gateway National Recreation Area,NJ,NE,40.598429179999997,-73.857163470000003
32,SAPA,Saint Paul's Church National Historic Site,NY,NE,40.892717220000002,-73.825658090000005
33,THRI,Theodore Roosevelt Inaugural National Historic Site,NY,NE,42.901480090000000,-78.872546180000001
34,FOST,Fort Stanwix National Monument,NY,NE,43.210661629999997,-75.455421979999997
35,FIIS,Fire Island National Seashore,NY,NE,40.703147540000003,-72.966238520000005
36,HOFR,Home of Franklin D. Roosevelt National Historic Site,NY,NE,41.764849769999998,-73.925616190000000
37,VAMA,Vanderbilt Mansion National Historic Site,NY,NE,41.797545640000003,-73.941827160000003
38,SARA,Saratoga National Historical Park,NY,NE,42.991926280000001,-73.629540870000000
39,SAGA,Saint-Gaudens National Historical Park,NH,NE,43.500455649999999,-72.373336339999994
40,STLI,Statue of Liberty National Monument,NJ,NE,40.698318129999997,-74.041132059999995
41,EDIS,Thomas Edison National Historical Park,NJ,NE,40.785717820000002,-74.239798570000005
42,MORR,Morristown National Historical Park,NJ,NE,40.767804419999997,-74.537493760000004
43,THRB,Theodore Roosevelt Birthplace National Historic Site,NY,NE,40.738593119999997,-73.989012680000002
44,CACL,Castle Clinton National Monument,NY,NE,40.703475630000000,-74.016777390000001
45,FEHA,Federal Hall National Memorial,NY,NE,40.707310569999997,-74.010260220000006
46,GEGR,General Grant National Memorial,NY,NE,40.813433070000002,-73.963080739999995
47,HAGR,Hamilton Grange National Memorial,NY,NE,40.821343830000004,-73.947209900000004
48,SAHI,Sagamore Hill National Historic Site,NY,NE,40.885821010000001,-73.496213429999997
49,BOAF,Boston African American National Historic Site,MA,NE,42.357883970000003,-71.070644689999995
50,BOHA,Boston Harbor Islands National Recreation Area,MA,NE,42.262052799999999,-70.875808599999999
51,AFBG,African Burial Ground National Monument,NY,NE,40.714550090000003,-74.004326669999998
52,GOIS,Governors Island National Monument,NY,NE,40.691666789999999,-74.016417809999993
53,LOWE,Lowell National Historical Park,MA,NE,42.645471170000000,-71.312227230000005
54,ROWI,Roger Williams National Memorial,RI,NE,41.829683099999997,-71.410489389999995
55,NEBE,New Bedford Whaling National Historical Park,MA,NE,41.635489460000002,-70.923244900000000
56,WEFA,Weir Farm National Historical Park,CT,NE,41.258164100000002,-73.455431500000003
57,MABI,Marsh-Billings-Rockefeller National Historical Park,VT,NE,43.633490330000001,-72.534317380000005
58,WORI,Women's Rights National Historical Park,NY,NE,42.902701919999998,-76.844408939999994
59,FRLA,Frederick Law Olmsted National Historic Site,MA,NE,42.324840799999997,-71.132176400000006
60,KNRI,Knife River Indian Villages National Historic Site,ND,MW,47.353004149999997,-101.383734180000005
61,BADL,Badlands National Park,SD,MW,43.834062410000001,-102.393945059999993
62,BICA,Bighorn Canyon National Recreation Area,MT,IM,45.103629290000001,-108.234729239999993
63,CANY,Canyonlands National Park,UT,IM,38.272072880000003,-109.883146229999994
64,ARCH,Arches National Park,UT,IM,38.707917629999997,-109.595456029999994
65,NABR,Natural Bridges National Monument,UT,IM,37.602631000000002,-110.011087579999995
66,BLCA,Black Canyon of the Gunnison National Park,CO,IM,38.579404220000001,-107.743691060000003
67,COLM,Colorado National Monument,CO,IM,39.054712440000003,-108.689309550000004
68,CURE,Curecanti National Recreation Area,CO,IM,38.452519590000001,-107.369494299999999
69,LIBI,Little Bighorn Battlefield National Monument,MT,IM,45.565442769999997,-107.427726350000000
70,DETO,Devils Tower National Monument,WY,IM,44.590075220000003,-104.715156170000000
71,DINO,Dinosaur National Monument,CO,IM,40.494328690000003,-108.937720490000004
72,FOLA,Fort Laramie National Historic Site,WY,IM,42.202429590000001,-104.547135280000006
73,GLAC,Glacier National Park,MT,IM,48.618849779999998,-113.756269040000006
74,GLCA,Glen Canyon National Recreation Area,AZ,IM,37.398020740000000,-110.802127510000005
75,RABR,Rainbow Bridge National Monument,UT,IM,37.077887720000000,-110.965509859999997
76,GOSP,Golden Spike National Historical Park,UT,IM,41.616543970000002,-112.547886399999996
77,GRTE,Grand Teton National Park,WY,IM,43.826292930000001,-110.685574900000006
78,SAND,Sand Creek Massacre National Historic Site,CO,IM,38.563026880000002,-102.519305110000005
79,GRSA,Great Sand Dunes National Preserve,CO,IM,37.875520510000001,-105.505114899999995
80,JODR,"John D. Rockefeller, Jr., Memorial Parkway",WY,IM,44.088149289999997,-110.722850039999997
81,FOBU,Fossil Butte National Monument,WY,IM,41.856666709999999,-110.766353480000006
82,MEVE,Mesa Verde National Park,CO,IM,37.253530939999997,-108.455604750000006
83,HOVE,Hovenweep National Monument,CO,IM,37.383546899999999,-109.072992180000000
84,YUHO,Yucca House National Monument,CO,IM,37.248954480000002,-108.685954850000002
85,MORU,Mount Rushmore National Memorial,SD,MW,43.879935289999999,-103.453879590000000
86,BEOL,Bent's Old Fort National Historic Site,CO,IM,38.039962350000003,-103.426317979999993
87,FLFO,Florissant Fossil Beds National Monument,CO,IM,38.912561050000001,-105.286033770000003
88,BRCA,Bryce Canyon National Park,UT,IM,37.570795539999999,-112.185607939999997
89,CARE,Capitol Reef National Park,UT,IM,38.170602279999997,-111.142722789999993
90,CEBR,Cedar Breaks National Monument,UT,IM,37.633810709999999,-112.844728739999994
91,PISP,Pipe Spring National Monument,AZ,IM,36.862826579999997,-112.739857090000001
92,ZION,Zion National Park,UT,IM,37.279519280000002,-113.045716519999999
93,THRO,Theodore Roosevelt National Park,ND,MW,46.955750729999998,-103.462981260000007
94,FOUS,Fort Union Trading Post National Historic Site,MT,MW,47.998852180000000,-104.037696839999995
95,TICA,Timpanogos Cave National Monument,UT,IM,40.440397150000003,-111.709394349999997
96,WICA,Wind Cave National Park,SD,MW,43.575317349999999,-103.428776409999998
97,JECA,Jewel Cave National Monument,SD,MW,43.730994160000002,-103.831623199999996
98,YELL,Yellowstone National Park,ID,IM,44.583032220000000,-110.490083069999997
99,BIHO,Big Hole National Battlefield,MT,PW,45.646492000000002,-113.646049559999994
100,GRKO,Grant-Kohrs Ranch National Historic Site,MT,IM,46.414005150000001,-112.747384690000004
101,NACA,National Capital Parks,DC,NC,39.063200819999999,-76.835222819999998
102,CLBA,Clara Barton National Historic Site,MD,NC,38.967707200000000,-77.140300929999995
103,BEPA,Belmont-Paul Women's Equality National Monument,DC,NC,38.892323449999999,-77.003860750000001
104,FOWA,Fort Washington Park,MD,NC,38.710565819999999,-77.028716050000000
105,LYBA,Lyndon Baines Johnson Memorial Grove on the Potomac,DC,NC,38.878946970000001,-77.051811369999996
106,MALL,National Mall,DC,NC,38.889828330000000,-77.022209640000000
107,GREE,Greenbelt Park,MD,NC,38.984018929999998,-76.897732500000004
108,ROCR,Rock Creek Park,DC,NC,38.964160409999998,-77.047520090000006
109,PAAV,Pennsylvania Avenue National Historic Site,DC,NC,38.892823350000000,-77.017521990000006
110,CHOH,Chesapeake and Ohio Canal National Historical Park,DC,NC,39.608870639999999,-77.922725209999996
111,MABE,Mary McLeod Bethune Council House National Historic Site,DC,NC,38.908183370000003,-77.030964440000005
112,HAFE,Harpers Ferry National Historical Park,MD,NC,39.312310959999998,-77.741955360000006
113,CATO,Catoctin Mountain Park,MD,NC,39.653235189999997,-77.469202019999997
114,GWMP,George Washington Memorial Parkway,MD,NC,38.710097429999998,-77.063261010000005
115,ARHO,"Arlington House, The Robert E. Lee Memorial",VA,NC,38.882089970000003,-77.073667799999996
116,THIS,Theodore Roosevelt Island,DC,NC,38.896095860000003,-77.062761739999999
117,MANA,Manassas National Battlefield Park,VA,NC,38.822313489999999,-77.530847339999994
118,WWII,World War II Memorial,DC,NC,38.889187600000000,-77.040373459999998
119,FRDE,Franklin Delano Roosevelt Memorial,DC,NC,38.883483570000003,-77.043087700000001
120,FOTH,Ford's Theatre National Historic Site,DC,NC,38.896665980000002,-77.025649869999995
121,JEFM,Thomas Jefferson Memorial,DC,NC,38.881251130000003,-77.036140009999997
122,LINC,Lincoln Memorial,DC,NC,38.889272310000003,-77.050207560000004
123,WAMO,Washington Monument,DC,NC,38.888474219999999,-77.035370159999999
124,KOWA,Korean War Veterans Memorial,DC,NC,38.887891340000003,-77.048039380000006
125,PISC,Piscataway Park,MD,NC,38.684780060000001,-77.056089860000000
126,FRDO,Frederick Douglass National Historic Site,DC,NC,38.862819670000000,-76.985104460000002
127,CAWO,Carter G. Woodson Home National Historic Site,DC,NC,38.910894980000002,-77.024326599999995
128,MONO,Monocacy National Battlefield,MD,NC,39.361174849999998,-77.393077869999999
129,PRWI,Prince William Forest Park,VA,NC,38.585573900000000,-77.381029110000000
130,VIVE,Vietnam Veterans Memorial,DC,NC,38.890917129999998,-77.047679020000004
131,COGA,Constitution Gardens,DC,NC,38.890902609999998,-77.043222310000004
132,WHHO,White House,DC,NC,38.896939920000001,-77.036553780000006
133,FLNI,Flight 93 National Memorial,PA,NE,40.057574219999999,-78.892688440000001
134,ALPO,Allegheny Portage Railroad National Historic Site,PA,NE,40.431616929999997,-78.518068139999997
135,FONE,Fort Necessity National Battlefield,PA,NE,39.811162760000002,-79.588748499999994
136,JOFL,Johnstown Flood National Memorial,PA,NE,40.346904029999997,-78.773514349999999
137,APPA,Appalachian National Scenic Trail,CT,NE,35.988858229999998,-82.480752690000003
138,APCO,Appomattox Court House National Historical Park,VA,NE,37.384366999999997,-78.799772919999995
139,ASIS,Assateague Island National Seashore,MD,NE,38.047348560000003,-75.247412420000003
140,BLUE,Bluestone National Scenic River,WV,NE,37.560846890000001,-80.995481510000005
141,BOWA,Booker T. Washington National Monument,VA,NE,37.114180920000003,-79.730806840000000
142,CEBE,Cedar Creek and Belle Grove National Historical Park,VA,NE,38.993726180000003,-78.314214640000003
143,COLO,Colonial National Historical Park,VA,NE,37.244059810000003,-76.527278690000003
144,DEWA,Delaware Water Gap National Recreation Area,NJ,NE,41.098842280000000,-74.940430910000003
145,EDAL,Edgar Allan Poe National Historic Site,PA,NE,39.961943310000002,-75.149987679999995
146,DELA,Middle Delaware National Scenic River,NJ,NE,41.145719659999997,-74.915897060000006
147,FOMC,Fort McHenry National Monument and Historic Shrine,MD,NE,39.263639040000001,-76.580248429999997
148,GARI,Gauley River National Recreation Area,WV,NE,38.192435650000000,-81.072761720000003
149,HAMP,Hampton National Historic Site,MD,NE,39.416459000000003,-76.588714039999999
150,FRHI,Friendship Hill National Historic Site,PA,NE,39.777837750000003,-79.923436269999996
151,FRSP,Fredericksburg and Spotsylvania County Battlefields Memorial National Military Park,VA,NE,38.294426199999997,-77.730588620000006
152,GEWA,George Washington Birthplace National Monument,VA,NE,38.189735120000002,-76.919809380000004
153,GETT,Gettysburg National Military Park,PA,NE,39.799270260000000,-77.237931970000005
154,EISE,Eisenhower National Historic Site,PA,NE,39.796417529999999,-77.267321060000000
155,HOFU,Hopewell Furnace National Historic Site,PA,NE,40.210900559999999,-75.766226239999995
156,INDE,Independence National Historical Park,PA,NE,39.951677510000003,-75.149419839999993
157,THKO,Thaddeus Kosciuszko National Memorial,PA,NE,39.943453020000000,-75.147320570000005
158,PETE,Petersburg National Battlefield,VA,NE,37.229273540000001,-77.360613060000006
159,NERI,New River Gorge National Park and Preserve,WV,NE,37.896966180000000,-81.042934320000001
160,MAWA,Maggie L. Walker National Historic Site,VA,NE,37.547358189999997,-77.436695099999994
161,RICH,Richmond National Battlefield Park,VA,NE,37.570064070000001,-77.281322729999999
162,SHEN,Shenandoah National Park,VA,NE,38.473251310000002,-78.462928190000000
163,THST,Thomas Stone National Historic Site,MD,NE,38.528880080000000,-77.037198680000003
164,STEA,Steamtown National Historic Site,PA,NE,41.407963510000002,-75.671567179999997
165,UPDE,Upper Delaware Scenic and Recreational River,NY,NE,41.516960429999997,-75.009714819999999
166,VAFO,Valley Forge National Historical Park,PA,NE,40.100492279999997,-75.444677339999998
167,BICY,Big Cypress National Preserve,FL,SE,25.986559190000001,-81.104987670000000
168,TUIN,Tuskegee Institute National Historic Site,AL,SE,32.430260709999999,-85.704785639999997
169,CANA,Canaveral National Seashore,FL,SE,28.778213210000001,-80.747773080000002
170,CHAT,Chattahoochee River National Recreation Area,GA,SE,33.973843490000000,-84.266740580000004
171,ANDE,Andersonville National Historic Site,GA,SE,32.197875940000003,-84.130638360000006
172,BISO,Big South Fork National River and Recreation Area,KY,SE,36.522655540000002,-84.675541760000002
173,BLRI,Blue Ridge Parkway,NC,SE,36.435759800000000,-81.070701990000003
174,CARL,Carl Sandburg Home National Historic Site,NC,SE,35.267816670000002,-82.450708169999999
175,GUCO,Guilford Courthouse National Military Park,NC,SE,36.131359140000001,-79.843468430000001
176,FORA,Fort Raleigh National Historic Site,NC,SE,35.934517380000003,-75.715898269999997
177,WRBR,Wright Brothers National Memorial,NC,SE,36.017635749999997,-75.668126000000001
178,CAHA,Cape Hatteras National Seashore,NC,SE,35.236949969999998,-75.603517560000000
179,CALO,Cape Lookout National Seashore,NC,SE,34.828121600000003,-76.347679510000006
180,CHCH,Chickamauga and Chattanooga National Military Park,GA,SE,34.919263280000003,-85.255198600000000
181,CUGA,Cumberland Gap National Historical Park,KY,SE,36.618841320000001,-83.645233270000006
182,CONG,Congaree National Park,SC,SE,33.794055700000001,-80.763513320000001
183,BISC,Biscayne National Park,FL,SE,25.469689249999998,-80.218301589999996
184,CASA,Castillo de San Marcos National Monument,FL,SE,29.897899490000000,-81.312446219999998
185,FOMA,Fort Matanzas National Monument,FL,SE,29.711508410000000,-81.238444020000003
186,EVER,Everglades National Park,FL,SE,25.282568200000000,-80.954838289999998
187,DRTO,Dry Tortugas National Park,FL,SE,24.645749500000001,-82.874106830000002
188,DESO,De Soto National Memorial,FL,SE,27.522193600000001,-82.642896219999997
189,FOCA,Fort Caroline National Memorial,FL,SE,30.384015649999998,-81.500482599999998
190,GUIS,Gulf Islands National Seashore,FL,SE,30.355382280000001,-87.018176130000001
191,SAJU,San Juan National Historic Site,PR,SE,18.468514540000001,-66.120495020000007
192,TIMU,Timucuan Ecological and Historic Preserve,FL,SE,30.475742270000001,-81.452101790000000
193,VIIS,Virgin Islands National Park,VI,SE,18.343942309999999,-64.739858530000006
194,VICR,Virgin Islands Coral Reef National Monument,VI,SE,18.279705759999999,-64.703875400000001
195,BUIS,Buck Island Reef National Monument,VI,SE,17.808792610000001,-64.619946619999993
196,CHRI,Christiansted National Historic Site,VI,SE,17.734098990000000,-64.740024750000003
197,SARI,Salt River Bay National Historical Park and Ecological Preserve,VI,SE,17.780186969999999,-64.755844999999994
198,FODO,Fort Donelson National Battlefield,KY,SE,36.485713730000001,-87.860376680000002
199,FOFR,Fort Frederica National Monument,GA,SE,31.219760919999999,-81.392867609999996
200,FOPU,Fort Pulaski National Monument,GA,SE,32.032798960000001,-80.940010630000003
201,FOSU,Fort Sumter and Fort Moultrie National Historical Park,SC,SE,32.753366350000000,-79.879471559999999
202,ANJO,Andrew Johnson National Historic Site,TN,SE,36.155528390000001,-82.838058840000002
203,GRSM,Great Smoky Mountains National Park,NC,SE,35.622148180000003,-83.498095840000005
204,HOBE,Horseshoe Bend National Military Park,AL,SE,32.974454070000000,-85.731758339999999
205,KEMO,Kennesaw Mountain National Battlefield Park,GA,SE,33.924019930000000,-84.589041969999997
206,KIMO,Kings Mountain National Military Park,SC,SE,35.137564980000001,-81.389095060000002
207,COWP,Cowpens National Battlefield,SC,SE,35.132752979999999,-81.809536910000006
208,MACA,Mammoth Cave National Park,KY,SE,37.183998940000002,-86.122994050000003
209,j,Abraham Lincoln Birthplace National Historical Park,KY,SE,37.612066210000002,-85.642487910000000
210,MOCR,Moores Creek National Battlefield,NC,SE,34.458287790000000,-78.110107549999995
211,NATR,Natchez Trace Parkway,AL,SE,32.870711260000000,-89.654705000000007
212,BRCR,Brices Cross Roads National Battlefield Site,MS,SE,34.506118379999997,-88.728895890000004
213,TUPE,Tupelo National Battlefield,MS,SE,34.255577049999999,-88.737086230000003
214,SHIL,Shiloh National Military Park,MS,SE,35.140518600000000,-88.336199239999999
215,STRI,Stones River National Battlefield,TN,SE,35.873253730000002,-86.433555159999997
